O,T,value
31,1675,0.508155144
31,1676,0.430181248
31,1677,0.458358249
31,1678,0.528857455
31,1679,0.591686084
31,1680,0.644740912
31,1681,0.671876611
31,1682,0.63759614
31,1683,0.652432109
31,1684,0.641967544
31,1685,0.552657897
31,1686,0.411455004
31,1687,0.408870652
31,1688,0.453863126
31,1689,0.500195888
31,1690,0.537455925
31,1691,0.574571623
31,1692,0.587897189
31,1693,0.564189538
31,1694,0.587376539
31,1695,0.574221086
31,1696,0.520114646
31,1697,0.433384196
31,1698,0.420871394
31,1699,0.442192301
31,1700,0.485782626
31,1701,0.535249603
31,1702,0.595377034
31,1703,0.61798668
31,1704,0.590428274
31,1705,0.5946141
31,1706,0.587747696
31,1707,0.567973277
31,1708,0.51656288
31,1709,0.412626898
31,1710,0.451388746
31,1711,0.534321711
31,1712,0.606388024
31,1713,0.649277275
31,1714,0.683253604
31,1715,0.659669671
31,1716,0.657906675
31,1717,0.646390499
31,1718,0.563550323
31,1719,0.423359521
31,1720,0.45823453
31,1721,0.536383694
31,1722,0.611213065
31,1723,0.641709796
31,1724,0.677575933
31,1725,0.660411985
31,1726,0.671742582
31,1727,0.630636947
31,1728,0.583314432
31,1729,0.479005574
31,1730,0.420721901
31,1731,0.464977215
31,1732,0.553333196
31,1733,0.621440501
31,1734,0.669175413
31,1735,0.701744438
31,1736,0.666659794
31,1737,0.669443471
31,1738,0.650988721
31,1739,0.584537875
31,1740,0.499319546
31,1741,0.437536343
31,1742,0.473348867
31,1743,0.546941048
31,1744,0.62158484
31,1745,0.670330124
31,1746,0.687898221
31,1747,0.723962307
31,1748,0.703095036
31,1749,0.680774069
31,1750,0.668082562
31,1751,0.63638988
31,1752,0.575513262
31,1753,0.452797768
31,1754,0.471328123
31,1755,0.542384065
31,1756,0.605088975
31,1757,0.664783389
31,1758,0.685733138
31,1759,0.70591308
31,1760,0.675031446
31,1761,0.668742396
31,1762,0.666474215
31,1763,0.654494092
31,1764,0.629812153
31,1765,0.555194136
31,1766,0.424555471
31,1767,0.42142813
31,1768,0.45085263
31,1769,0.500257748
31,1770,0.553126998
31,1771,0.593257315
31,1772,0.590057117
31,1773,0.580386416
31,1774,0.590985009
31,1775,0.590325175
31,1776,0.516150484
31,1777,0.411314102
31,1778,0.402107347
31,1779,0.432583459
31,1780,0.465430851
31,1781,0.512464689
31,1782,0.556034394
31,1783,0.598875532
31,1784,0.579097676
31,1785,0.582015382
31,1786,0.604264181
31,1787,0.589067365
31,1788,0.515258676
31,1789,0.406111031
31,1790,0.432645318
31,1791,0.512402829
31,1792,0.578860548
31,1793,0.629853393
31,1794,0.654184795
31,1795,0.679949275
31,1796,0.66092748
31,1797,0.662535827
31,1798,0.677629544
31,1799,0.664288513
31,1800,0.582015383
31,1801,0.5036394
31,1802,0.432366951
31,1803,0.423448873
31,1804,0.540631379
31,1805,0.606635462
31,1806,0.654442543
31,1807,0.664556571
31,1808,0.684398004
31,1809,0.679072932
31,1810,0.694826484
31,1811,0.685217642
31,1812,0.657545828
31,1813,0.571349774
31,1814,0.44408638
31,1815,0.544755346
31,1816,0.615295791
31,1817,0.651669175
31,1818,0.668226901
31,1819,0.692269625
31,1820,0.677938842
31,1821,0.682846362
31,1822,0.698146277
31,1823,0.687671402
31,1824,0.649751531
31,1825,0.593438769
31,1826,0.512856465
31,1827,0.433253603
31,1828,0.464090562
31,1829,0.551498031
31,1830,0.613604965
31,1831,0.649772151
31,1832,0.690430336
31,1833,0.673990144
31,1834,0.688289997
31,1835,0.682537064
31,1836,0.649689672
31,1837,0.593074485
31,1838,0.461631648
31,1839,0.411365652
31,1840,0.452543456
31,1841,0.528795596
31,1842,0.595108976
31,1843,0.633131946
31,1844,0.645297647
31,1845,0.658704662
31,1846,0.619873394
31,1847,0.655731282
31,1848,0.656226158
31,1849,0.610377962
31,1850,0.553766212
31,1851,0.479390477
31,1852,0.431325649
31,1853,0.414149329
31,1854,0.422026105
31,1855,0.457904613
31,1856,0.506835474
31,1857,0.561931666
31,1858,0.594840918
31,1859,0.600202074
31,1860,0.581499887
31,1861,0.577582118
31,1862,0.608243809
31,1863,0.608759305
31,1864,0.585830051
31,1865,0.531878261
31,1866,0.445034401
31,1867,0.444522342
31,1868,0.496577108
31,1869,0.575458276
31,1870,0.622471493
31,1871,0.657669546
31,1872,0.63150298
31,1873,0.638554962
31,1874,0.616192755
31,1875,0.566715467
31,1876,0.520808847
31,1877,0.438161124
31,1878,0.422036415
31,1879,0.41902592
31,1880,0.47668928
31,1881,0.557828319
31,1882,0.62657484
31,1883,0.657710786
31,1884,0.670989958
31,1885,0.68799101
31,1886,0.671897231
31,1887,0.665948409
31,1888,0.674350991
31,1889,0.65239087
31,1890,0.589988384
31,1891,0.51597006
31,1892,0.434776034
31,1893,0.463492587
31,1894,0.561849187
31,1895,0.629812153
31,1896,0.669092934
31,1897,0.682392725
31,1898,0.683784564
31,1899,0.668866115
31,1900,0.67562942
31,1901,0.703610533
31,1902,0.703239376
31,1903,0.669031074
31,1904,0.606745434
31,1905,0.517763985
31,1906,0.445597519
31,1907,0.552487783
31,1908,0.618966122
31,1909,0.662494587
31,1910,0.688805494
31,1911,0.693795493
31,1912,0.679753387
31,1913,0.701280492
31,1914,0.702991938
31,1915,0.675320123
31,1916,0.619371645
31,1917,0.468281543
31,1918,0.440846857
31,1919,0.552941419
31,1920,0.632533971
31,1921,0.6843413
31,1922,0.711544013
31,1923,0.690341671
31,1924,0.712930697
31,1925,0.687547683
31,1926,0.607982625
31,1927,0.481376855
31,1928,0.432258697
31,1929,0.473183908
31,1930,0.554364187
31,1931,0.623378766
31,1932,0.670495082
31,1933,0.68057818
31,1934,0.650411366
31,1935,0.648287523
31,1936,0.663999835
31,1937,0.653937357
31,1938,0.618337217
31,1939,0.556742341
31,1940,0.424367929
31,1941,0.471472462
31,1942,0.552230035
31,1943,0.603934264
31,1944,0.608903644
31,1945,0.57290829
31,1946,0.586881663
31,1947,0.589397283
31,1948,0.525470648
31,1949,0.4078809
31,1950,0.417015486
31,1951,0.47786461
31,1952,0.547270966
31,1953,0.598104006
31,1954,0.579994639
31,1955,0.607707693
31,1956,0.595717261
31,1957,0.550838196
31,1958,0.445202796
31,1959,0.417680475
31,1960,0.539724107
31,1961,0.620306411
31,1962,0.663917356
31,1963,0.68815803
31,1964,0.694878034
31,1965,0.673608677
31,1966,0.599191703
31,1967,0.494412026
31,1968,0.440886378
31,1969,0.558240716
31,1970,0.624389137
31,1971,0.682124668
31,1972,0.701022744
31,1973,0.682361796
31,1974,0.676557313
31,1975,0.699259748
31,1976,0.670175474
31,1977,0.593823673
31,1978,0.466466998
31,1979,0.439269439
31,1980,0.559745964
31,1981,0.629585335
31,1982,0.667525826
31,1983,0.687021878
31,1984,0.697156525
31,1985,0.677443966
