year,T,PV,Wind,Y
2009,821,0,0.1003,1
2009,822,0,0.0962,1
2009,823,0,0.0956,1
2009,824,0.001,0.1004,1
2009,825,0.045,0.107,1
2009,826,0.118,0.1037,1
2009,827,0.184,0.1113,1
2009,828,0.221,0.1283,1
2009,829,0.223,0.1487,1
2009,830,0.182,0.1653,1
2009,831,0.116,0.1773,1
2009,832,0.045,0.1872,1
2009,833,0.002,0.2025,1
2009,834,0,0.2099,1
2009,835,0,0.2094,1
2009,836,0,0.2067,1
2009,837,0,0.2048,1
2009,838,0,0.2037,1
2009,839,0,0.2064,1
2009,840,0,0.2073,1
2009,841,0,0.2077,1
2009,842,0,0.2127,1
2009,843,0,0.2083,1
2009,844,0,0.2061,1
2009,845,0,0.2168,1
2009,846,0,0.2382,1
2009,847,0,0.2685,1
2009,848,0,0.2881,1
2009,849,0.009,0.293,1
2009,850,0.04,0.293,1
2009,851,0.074,0.2869,1
2009,852,0.099,0.2717,1
2009,853,0.105,0.2559,1
2009,854,0.091,0.241,1
2009,855,0.063,0.2234,1
2009,856,0.027,0.2161,1
2009,857,0.002,0.2172,1
2009,858,0,0.2199,1
2009,859,0,0.2126,1
2009,860,0,0.2015,1
2009,861,0,0.1978,1
2009,862,0,0.1937,1
2009,863,0,0.1964,1
2009,864,0,0.2043,1
2009,865,0,0.219,1
2009,866,0,0.2332,1
2009,867,0,0.244,1
2009,868,0,0.2642,1
2009,869,0,0.2807,1
2009,870,0,0.291,1
2009,871,0,0.2995,1
2009,872,0,0.2997,1
2009,873,0.02,0.2994,1
2009,874,0.071,0.2869,1
2009,875,0.13,0.2939,1
2009,876,0.181,0.3312,1
2009,877,0.198,0.3459,1
2009,878,0.179,0.3525,1
2009,879,0.129,0.3509,1
2009,880,0.06,0.3466,1
2009,881,0.006,0.3434,1
2009,882,0,0.3316,1
2009,883,0,0.3065,1
2009,884,0,0.3092,1
2009,885,0,0.309,1
2009,886,0,0.3124,1
2009,887,0,0.3134,1
2009,888,0,0.316,1
2009,889,0,0.3267,1
2009,890,0,0.3464,1
2009,891,0,0.3812,1
2009,892,0,0.4099,1
2009,893,0,0.4271,1
2009,894,0,0.4414,1
2009,895,0,0.4515,1
2009,896,0.001,0.4549,1
2009,897,0.041,0.454,1
2009,898,0.11,0.4497,1
2009,899,0.176,0.4687,1
2009,900,0.223,0.4798,1
2009,901,0.232,0.4887,1
2009,902,0.202,0.4599,1
2009,903,0.147,0.4304,1
2009,904,0.072,0.4214,1
2009,905,0.008,0.4151,1
2009,906,0,0.3822,1
2009,907,0,0.3293,1
2009,908,0,0.2926,1
2009,909,0,0.2664,1
2009,910,0,0.2326,1
2009,911,0,0.1961,1
2009,912,0,0.167,1
2009,913,0,0.1489,1
2009,914,0,0.1396,1
2009,915,0,0.131,1
2009,916,0,0.1223,1
2009,917,0,0.1124,1
2009,918,0,0.1017,1
2009,919,0,0.0934,1
2009,920,0,0.0858,1
