T,O,price_1,price_2,price_3,
75,2,13.00659313,13.00659313,13.00659313,2
75,3,13.00962246,-13.00962246,-13.00962246,8
76,1,15.39351152,15.39351152,22,1
76,2,15.39514415,15.39514415,15.39514415,8
76,3,13.00975441,-13.00975441,-13.00975441,5
77,1,15.38900265,15.38900265,44,2
77,2,13.00659324,13.00659324,13.00659324,7
77,3,13.00962164,-13.00962164,-13.00962164,10
78,1,13.01212937,13.01212937,22,1
78,2,13.00663888,13.00663888,13.00663888,6
78,3,15.38124009,-15.38124009,-15.38124009,2
79,1,15.38806355,15.38806355,88,4
79,2,13.00659771,13.00659771,13.00659771,8
79,3,13.00961928,-13.00961928,-13.00961928,7
80,1,15.40498606,15.40498606,132,6
80,2,15.38635678,15.38635678,15.38635678,4
80,3,15.38784818,-15.38784818,-15.38784818,8
81,1,13.01212267,13.01212267,0,0
81,2,13.00659775,13.00659775,13.00659775,9
81,3,13.0096189,-13.0096189,-13.0096189,8
82,1,13.01232854,13.01232854,88,4
82,2,15.38150057,15.38150057,15.38150057,0
82,3,15.39811673,-15.39811673,-15.39811673,6
83,1,15.38806198,15.38806198,110,5
83,2,13.00659227,13.00659227,13.00659227,5
83,3,13.00961834,-13.00961834,-13.00961834,1
84,1,13.01212128,13.01212128,198,9
84,2,13.0065876,13.0065876,13.0065876,5
84,3,15.3812395,-15.3812395,-15.3812395,10
85,1,15.38806122,15.38806122,22,1
85,2,15.37962937,15.37962937,15.37962937,5
85,3,13.00961929,-13.00961929,-13.00961929,5
86,1,13.01211994,13.01211994,44,2
86,2,15.38138544,15.38138544,15.38138544,6
86,3,15.38306666,-15.38306666,-15.38306666,10
87,1,15.38806052,15.38806052,154,7
87,2,13.006593,13.006593,13.006593,5
87,3,13.00961853,-13.00961853,-13.00961853,8
88,1,13.01212003,13.01212003,154,7
88,2,13.00658912,13.00658912,13.00658912,2
88,3,15.39956971,-15.39956971,-15.39956971,4
89,1,15.39419696,15.39419696,220,10
89,2,15.37963284,15.37963284,15.37963284,3
89,3,13.00974737,-13.00974737,-13.00974737,0
90,1,13.01212746,13.01212746,88,4
90,2,13.00659496,13.00659496,13.00659496,7
90,3,15.38862198,-15.38862198,-15.38862198,7
91,1,15.39983103,15.39983103,66,3
91,2,15.39423815,15.39423815,15.39423815,0
91,3,13.00962319,-13.00962319,-13.00962319,10
92,1,13.01212302,13.01212302,176,8
92,2,13.00662903,13.00662903,13.00662903,7
92,3,15.38250382,-15.38250382,-15.38250382,10
93,1,15.40103257,15.40103257,22,1
93,2,13.00659852,13.00659852,13.00659852,4
93,3,13.00961964,-13.00961964,-13.00961964,10
94,1,13.01211767,13.01211767,88,4
94,2,13.00660087,13.00660087,13.00660087,2
94,3,15.39083437,-15.39083437,-15.39083437,10
95,1,15.39807248,15.39807248,110,5
95,2,15.37963324,15.37963324,15.37963324,5
95,3,13.00961858,-13.00961858,-13.00961858,3
96,1,13.01211683,13.01211683,22,1
96,2,13.00659383,13.00659383,13.00659383,6
